pregunta,pregunta_encontrada,respuesta_esperada,respuesta_chatbot,rouge1,rougeL,tiempo_respuesta
¿cómo me registro en la biblioteca?,¿cómo me registro en la biblioteca?,"Para registrarte en la biblioteca, necesitas presentar tu carné de estudiante y un comprobante de domicilio en la recepción.","¡Hola! Para registrarte en nuestra biblioteca, necesitamos algunos datos personales. Vuelve al punto de registro con un documento de identidad y completa tu información en el formulario que allí encontrarás.",0.42307692307692313,0.3076923076923077,
¿cuántos libros puedo prestar?,¿cuántos libros puedo prestar?,Puedes prestar hasta 3 libros por un período de 15 días. Necesitas tu carné de estudiante.,"Puedes prestar dos libros: ""La prensa y la opinión pública"" de Nikolai Grigor'evich Palgunov y ""La libertad creadora"" de Alejandro Korn.",0.2380952380952381,0.2380952380952381,
¿tienen computadoras disponibles?,¿tienen computadoras disponibles?,"Sí, contamos con computadoras disponibles para investigación y estudio en la sala de cómputo.","¡Claro! Si deseas saber cómo utilizar la computadora, te recomiendo ir a la zona de estudios individual y grupal. Allí encontrarás ordenadores disponibles para tu uso. Además, siempre puedes consultarnos para recibir asesoría personalizada en tus preguntas.",0.3508771929824561,0.14035087719298248,
¿puedo usar internet?,¿puedo usar internet?,"Sí, ofrecemos acceso a internet en la sala de cómputo. Necesitas tu carné de estudiante para acceder.","¡Claro! Si tienes preguntas adicionales, no dude en preguntar. En la biblioteca también podrás utilizar internet para investigaciones y estudios. Tenemos una sala de computadoras con acceso a internet al alcance de las manos.",0.3703703703703704,0.1851851851851852,
¿hay área de estudio grupal?,¿hay área de estudio grupal?,"Sí, contamos con áreas de estudio individual y grupal. Las salas grupales deben reservarse con anticipación.","¡Claro! Si deseas saber más sobre la área de estudio grupal, puede encontrarla en el piso superior de la biblioteca. Ofrece espacio para reuniones y colaboración entre varias personas. También cuenta con mesas extendidas, sillas confortables y un ambiente silencioso adecuado para trabajar. ¡Espero que te sirva!",0.23880597014925375,0.1791044776119403,
¿cómo puedo reservar una sala de estudio?,¿cómo puedo reservar una sala de estudio?,"Para reservar una sala de estudio, debes acudir a la recepción con al menos 24 horas de anticipación y presentar tu carné de estudiante.","¡Claro! Para reservar una sala de estudio, debes contactarnos por teléfono o correo electrónico en la biblioteca. En nuestra biblioteca tenemos las siguientes salas de estudio disponibles:

- Sala de Estudios individuales (día completa)
- Sala de Estudios grupal (día completo)",0.3188405797101449,0.2898550724637681,
¿tienen servicio de fotocopias?,¿tienen servicio de fotocopias?,"Sí, ofrecemos servicio de fotocopias en la recepción. El costo es de $0.50 por página.",¡Sí! Tenemos servicio de fotocopias disponible en la biblioteca.,0.4444444444444444,0.4444444444444444,
¿quién es el encargado de la biblioteca?,¿quién es el encargado de la biblioteca?,El encargado de la biblioteca es el Lic. Juan Pérez. Puedes encontrarlo en la recepción de lunes a viernes de 8:00 a 16:00.,El encargado de la biblioteca no se especifica en los datos proporcionados.,0.30769230769230765,0.30769230769230765,
¿cómo te llamas?,¿cómo te llamas?,"Mi nombre es Mister Biblio, soy el asistente virtual de la biblioteca. Estoy aquí para ayudarte a encontrar libros, informarte sobre nuestros servicios y responder cualquier pregunta que tengas sobre la biblioteca.",Soy el Asistente Virtual de la Biblioteca. Cómo puedo ayudarte hoy?,0.36363636363636365,0.36363636363636365,
¿qué puedes hacer?,¿qué puedes hacer?,"Puedo ayudarte a: 1. Buscar libros por título, autor o materia 2. Recomendarte libros similares 3. Informarte sobre nuestros servicios 4. Responder preguntas sobre la biblioteca 5. Guiarte en el uso de nuestros recursos","Puedo ayudarte a encontrar libros en nuestra biblioteca. Encontramos dos libros relevantes para ti: ""Energía y Pureza"" de Tihamér Tóth y ""Hambre por un mundo mejor"" de Butron. Ambos están disponibles.",0.2571428571428571,0.17142857142857143,
