"id","mensaje","respuesta","tiempo_respuesta","fecha_hora"
"447","un libros sobre salud","Sí, encontramos algunos libros sobre salud. Recomendamos ""El libro de la salud: La guía para vivir mejor"" por Deepak Chopra y ""Cómo cambiar el mundo con la comida"" por John Robbins. Ambos se encuentran en la biblioteca, estado: disponible.","0.000","2025-06-15 14:52:55"
"449","tienes algun documento del vaticano","¡Sí! Tiene disponible el ""Documentos Completos del Vaticano II"" en la ubicación E1, B - ESTE, FILA 3, DERECHA.","0.000","2025-06-15 15:48:48"
"450","tienen libros de carl marx","¡Sí! Encontramos el libro ""El capital visto por su autor"" de Karl Marx y Friedrich Engels. Esta obra está disponible en la estantería E1, fila 1, izquierda.","0.000","2025-06-15 15:50:05"
"451","tienen libros sobre el colonialismo","Sí, encontramos libros sobre colonialismo. El más relevante es ""El Colonialismo"" de Carlos Marx, que se encuentra en E1, B - ESTE, FILA 1, IZQUIERDA y está disponible. Otra recomendación es el libro ""Colonialismo y Anticolonialismo"" de Aimé Césaire.","0.000","2025-06-15 15:51:40"
"452","dame libros sobre arte","Aquí están dos libros sobre arte que encontramos: ""La libertad en el arte"" de Honor Arundel (Disponible en E1, B - ESTE, FILA 1, IZQUIERDA). También recomendamos ""El arte del siglo XX"" de Alfred Barr (Disponible en E2, B - SUR, FILA 2, DERECHA).","0.000","2025-06-15 15:52:27"
"453","de que trata la libertad en el arte","Lo siento, no puedo generar un resumen detallado para 'La libertad en el arte'. Sin embargo, puedo decirte que es un libro de Ciencias Sociales escrito por Honor Arundel.","0.000","2025-06-15 15:53:08"
"454","de que trata cartas de san francisco","Lo siento, no puedo generar un resumen detallado para 'Las cartas de San Francisco Javier'. Sin embargo, puedo decirte que es un libro de Religión escrito por Francisco Javier, José Sola.","0.000","2025-06-15 15:53:26"
"455","de que trata las cartas de san francisco","Lo siento, no puedo generar un resumen detallado para 'Las cartas de San Francisco Javier'. Sin embargo, puedo decirte que es un libro de Religión escrito por Francisco Javier, José Sola.","0.000","2025-06-15 15:53:41"
"456","de que trata las cartas de saan francsico"," El libro ""Las cartas de San Francisco Javier"" ofrece una perspectiva simbólica y eficaz de la actividad misionera de San Francisco Javier, a pesar de que nunca llegó a América. La obra se refiere al emblema Somnium Xaverii de subsidio Indis ferendo publicado en 1640, que metafóricamente muestra la llegada de San Francisco a América a través de un sueño. El libro destacan los pasos y gestos de San Francisco como marcas para una ruta de conversión religiosa y transmite un mensaje heroico para el futuro. Además, comparte con el relato clásico de Eneas que llevaba entre sus brazos a su padre Anquises, donde se describe al joven como el fundador de un nuevo linaje.","71.836","2025-06-15 16:04:57"
"457","de que trata las cartas de saan francsico"," El libro ""Las cartas de San Francisco Javier"" ofrece una perspectiva simbólica y eficaz de la actividad misionera de San Francisco Javier, a pesar de que nunca llegó a América. La obra se refiere al emblema Somnium Xaverii de subsidio Indis ferendo publicado en 1640, que metafóricamente muestra la llegada de San Francisco a América a través de un sueño. El libro destacan los pasos y gestos de San Francisco como marcas para una ruta de conversión religiosa y transmite un mensaje heroico para el futuro. Además, comparte con el relato clásico de Eneas que llevaba entre sus brazos a su padre Anquises, donde se describe al joven como el fundador de un nuevo linaje.","0.000","2025-06-15 16:04:57"
